strat,division,density,popsize,sampsize,areawt,y
1,1,High,12,12,1,0
1,1,High,12,12,1,4
1,1,High,12,12,1,2
1,1,High,12,12,1,2
1,1,High,12,12,1,0
1,1,High,12,12,1,4
1,1,High,12,12,1,6
1,1,High,12,12,1,2
1,1,High,12,12,1,0
1,1,High,12,12,1,3
1,1,High,12,12,1,1
1,1,High,12,12,1,2
2,2,High,8,8,1,4
2,2,High,8,8,1,3
2,2,High,8,8,1,4
2,2,High,8,8,1,2
2,2,High,8,8,1,3
2,2,High,8,8,1,3
2,2,High,8,8,1,7
2,2,High,8,8,1,2
3,3,High,4,4,1,6
3,3,High,4,4,1,6
3,3,High,4,4,1,5
3,3,High,4,4,1,6
4,4,High,16,16,1,9
4,4,High,16,16,1,12
4,4,High,16,16,1,11
4,4,High,16,16,1,8
4,4,High,16,16,1,2
4,4,High,16,16,1,12
4,4,High,16,16,1,9
4,4,High,16,16,1,15
4,4,High,16,16,1,4
4,4,High,16,16,1,8
4,4,High,16,16,1,10
4,4,High,16,16,1,10
4,4,High,16,16,1,6
4,4,High,16,16,1,13
4,4,High,16,16,1,13
4,4,High,16,16,1,5
5,1,Low,384,24,16,1
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,1
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,1
5,1,Low,384,24,16,0
5,1,Low,384,24,16,1
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,1
5,1,Low,384,24,16,2
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,0
5,1,Low,384,24,16,1
5,1,Low,384,24,16,1
5,1,Low,384,24,16,0
6,2,Low,192,12,16,1
6,2,Low,192,12,16,1
6,2,Low,192,12,16,0
6,2,Low,192,12,16,0
6,2,Low,192,12,16,0
6,2,Low,192,12,16,0
6,2,Low,192,12,16,0
6,2,Low,192,12,16,0
6,2,Low,192,12,16,0
6,2,Low,192,12,16,0
6,2,Low,192,12,16,0
6,2,Low,192,12,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,1
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,1
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
7,3,Low,240,15,16,0
8,4,Low,144,9,16,3
8,4,Low,144,9,16,0
8,4,Low,144,9,16,1
8,4,Low,144,9,16,0
8,4,Low,144,9,16,0
8,4,Low,144,9,16,0
8,4,Low,144,9,16,0
8,4,Low,144,9,16,0
8,4,Low,144,9,16,0
